Iteration,Time,Residual
0, 0, 0
100, 0.125, 1.29263e-11
200, 0.25, 2.42845e-11
300, 0.375, 3.39427e-11
400, 0.5, 4.23328e-11
500, 0.625, 5.01178e-11
600, 0.75, 5.5404e-11
700, 0.875, 6.17046e-11
800, 1, 6.77366e-11
900, 1.125, 7.05238e-11
1000, 1.25, 7.52866e-11
1100, 1.375, 8.02325e-11
1200, 1.5, 8.18566e-11
1300, 1.625, 8.51939e-11
1400, 1.75, 8.89237e-11
1500, 1.875, 9.02976e-11
1600, 2, 9.36368e-11
1700, 2.125, 9.69688e-11
1800, 2.25, 9.74112e-11
1900, 2.375, 1.01058e-10
2000, 2.5, 1.03353e-10
2100, 2.625, 1.02927e-10
2200, 2.75, 1.05595e-10
2300, 2.875, 1.07171e-10
2400, 3, 1.07173e-10
2500, 3.125, 1.09347e-10
2600, 3.25, 1.10709e-10
2700, 3.375, 1.10661e-10
2800, 3.5, 1.11911e-10
2900, 3.625, 1.1236e-10
3000, 3.75, 1.12189e-10
3100, 3.875, 1.13904e-10
3200, 4, 1.14505e-10
3300, 4.125, 1.14713e-10
3400, 4.25, 1.15398e-10
3500, 4.375, 1.16551e-10
3600, 4.5, 1.16841e-10
3700, 4.625, 1.16612e-10
3800, 4.75, 1.17899e-10
3900, 4.875, 1.18574e-10
4000, 5, 1.18118e-10
4100, 5.125, 1.19698e-10
4200, 5.25, 1.20558e-10
4300, 5.375, 1.19477e-10
4400, 5.5, 1.21512e-10
4500, 5.625, 1.22084e-10
4600, 5.75, 1.20794e-10
4700, 5.875, 1.22868e-10
4800, 6, 1.22915e-10
4900, 6.125, 1.20819e-10
5000, 6.25, 1.23363e-10
5100, 6.375, 1.23924e-10
5200, 6.5, 1.22019e-10
5300, 6.625, 1.24911e-10
5400, 6.75, 1.25544e-10
5500, 6.875, 1.24124e-10
5600, 7, 1.26515e-10
5700, 7.125, 1.27021e-10
5800, 7.25, 1.25748e-10
5900, 7.375, 1.27961e-10
6000, 7.5, 1.28125e-10
6100, 7.625, 1.27413e-10
6200, 7.75, 1.29407e-10
6300, 7.875, 1.29292e-10
6400, 8, 1.28952e-10
6500, 8.125, 1.30524e-10
6600, 8.25, 1.30426e-10
6700, 8.375, 1.29836e-10
6800, 8.5, 1.31101e-10
6900, 8.625, 1.31149e-10
7000, 8.75, 1.30357e-10
7100, 8.875, 1.30992e-10
7200, 9, 1.31524e-10
7300, 9.125, 1.30253e-10
7400, 9.25, 1.30567e-10
7500, 9.375, 1.31571e-10
7600, 9.5, 1.29985e-10
7700, 9.625, 1.30156e-10
7800, 9.75, 1.30952e-10
7900, 9.875, 1.29747e-10
8000, 10, 1.29551e-10
8100, 10.125, 1.30423e-10
8200, 10.25, 1.29385e-10
8300, 10.375, 1.287e-10
8400, 10.5, 1.29891e-10
8500, 10.625, 1.29064e-10
8600, 10.75, 1.27987e-10
8700, 10.875, 1.29594e-10
8800, 11, 1.29124e-10
8900, 11.125, 1.27551e-10
9000, 11.25, 1.29937e-10
9100, 11.375, 1.29574e-10
9200, 11.5, 1.27788e-10
9300, 11.625, 1.30054e-10
9400, 11.75, 1.29793e-10
9500, 11.875, 1.28434e-10
9600, 12, 1.30189e-10
9700, 12.125, 1.29859e-10
9800, 12.25, 1.28843e-10
9900, 12.375, 1.30157e-10
10000, 12.5, 1.29868e-10
