Iteration,Time,Residual
0, 0, 1.3484e-12
100, 0.125, 1.17683e-11
200, 0.25, 2.06082e-11
300, 0.375, 2.75616e-11
400, 0.5, 3.41813e-11
500, 0.625, 4.01065e-11
600, 0.75, 4.56343e-11
700, 0.875, 5.14982e-11
800, 1, 5.59599e-11
900, 1.125, 5.95116e-11
1000, 1.25, 6.39318e-11
1100, 1.375, 6.684e-11
1200, 1.5, 6.96417e-11
1300, 1.625, 7.32379e-11
1400, 1.75, 7.50443e-11
1500, 1.875, 7.78438e-11
1600, 2, 8.11354e-11
1700, 2.125, 8.17389e-11
1800, 2.25, 8.43135e-11
1900, 2.375, 8.79359e-11
2000, 2.5, 8.80495e-11
2100, 2.625, 8.92385e-11
2200, 2.75, 9.19625e-11
2300, 2.875, 9.22199e-11
2400, 3, 9.30475e-11
2500, 3.125, 9.51334e-11
2600, 3.25, 9.5188e-11
2700, 3.375, 9.54039e-11
2800, 3.5, 9.70545e-11
2900, 3.625, 9.69484e-11
3000, 3.75, 9.69554e-11
3100, 3.875, 9.89337e-11
3200, 4, 9.92636e-11
3300, 4.125, 9.86757e-11
3400, 4.25, 1.00505e-10
3500, 4.375, 1.01088e-10
3600, 4.5, 1.00411e-10
3700, 4.625, 1.01909e-10
3800, 4.75, 1.02819e-10
3900, 4.875, 1.01772e-10
4000, 5, 1.03559e-10
4100, 5.125, 1.04696e-10
4200, 5.25, 1.03649e-10
4300, 5.375, 1.05033e-10
4400, 5.5, 1.06542e-10
4500, 5.625, 1.05376e-10
4600, 5.75, 1.0658e-10
4700, 5.875, 1.07839e-10
4800, 6, 1.06383e-10
4900, 6.125, 1.0711e-10
5000, 6.25, 1.08683e-10
5100, 6.375, 1.07544e-10
5200, 6.5, 1.08255e-10
5300, 6.625, 1.10034e-10
5400, 6.75, 1.09331e-10
5500, 6.875, 1.09898e-10
5600, 7, 1.11626e-10
5700, 7.125, 1.10876e-10
5800, 7.25, 1.11276e-10
5900, 7.375, 1.1305e-10
6000, 7.5, 1.12242e-10
6100, 7.625, 1.12393e-10
6200, 7.75, 1.1421e-10
6300, 7.875, 1.13381e-10
6400, 8, 1.13307e-10
6500, 8.125, 1.1497e-10
6600, 8.25, 1.14172e-10
6700, 8.375, 1.13711e-10
6800, 8.5, 1.15125e-10
6900, 8.625, 1.14433e-10
7000, 8.75, 1.13548e-10
7100, 8.875, 1.1473e-10
7200, 9, 1.14292e-10
7300, 9.125, 1.13196e-10
7400, 9.25, 1.14204e-10
7500, 9.375, 1.14172e-10
7600, 9.5, 1.12765e-10
7700, 9.625, 1.13772e-10
7800, 9.75, 1.14053e-10
7900, 9.875, 1.12547e-10
8000, 10, 1.13411e-10
8100, 10.125, 1.14014e-10
8200, 10.25, 1.12404e-10
8300, 10.375, 1.13174e-10
8400, 10.5, 1.13998e-10
8500, 10.625, 1.12415e-10
8600, 10.75, 1.13013e-10
8700, 10.875, 1.14103e-10
8800, 11, 1.12622e-10
8900, 11.125, 1.13118e-10
9000, 11.25, 1.14395e-10
9100, 11.375, 1.13036e-10
9200, 11.5, 1.13398e-10
9300, 11.625, 1.14769e-10
9400, 11.75, 1.13428e-10
9500, 11.875, 1.1362e-10
9600, 12, 1.15e-10
9700, 12.125, 1.13754e-10
9800, 12.25, 1.13714e-10
9900, 12.375, 1.15034e-10
10000, 12.5, 1.13935e-10
10100, 12.625, 1.13722e-10
10200, 12.75, 1.14984e-10
10300, 12.875, 1.13998e-10
10400, 13, 1.13575e-10
10500, 13.125, 1.1472e-10
10600, 13.25, 1.13946e-10
10700, 13.375, 1.13202e-10
10800, 13.5, 1.14392e-10
10900, 13.625, 1.1381e-10
11000, 13.75, 1.12907e-10
11100, 13.875, 1.13968e-10
11200, 14, 1.1374e-10
11300, 14.125, 1.12519e-10
11400, 14.25, 1.1356e-10
11500, 14.375, 1.13675e-10
11600, 14.5, 1.12259e-10
11700, 14.625, 1.13197e-10
11800, 14.75, 1.13588e-10
11900, 14.875, 1.12039e-10
12000, 15, 1.12916e-10
12100, 15.125, 1.13643e-10
12200, 15.25, 1.1212e-10
12300, 15.375, 1.12828e-10
12400, 15.5, 1.13818e-10
12500, 15.625, 1.12292e-10
12600, 15.75, 1.12829e-10
12700, 15.875, 1.13937e-10
12800, 16, 1.12587e-10
12900, 16.125, 1.12977e-10
13000, 16.25, 1.14423e-10
13100, 16.375, 1.13137e-10
13200, 16.5, 1.13355e-10
13300, 16.625, 1.14745e-10
13400, 16.75, 1.13412e-10
13500, 16.875, 1.13527e-10
13600, 17, 1.14858e-10
13700, 17.125, 1.13549e-10
13800, 17.25, 1.13452e-10
13900, 17.375, 1.14833e-10
14000, 17.5, 1.13691e-10
14100, 17.625, 1.13509e-10
14200, 17.75, 1.1475e-10
14300, 17.875, 1.1384e-10
14400, 18, 1.13382e-10
14500, 18.125, 1.14499e-10
14600, 18.25, 1.13817e-10
14700, 18.375, 1.13091e-10
14800, 18.5, 1.13827e-10
14900, 18.625, 1.13336e-10
15000, 18.75, 1.1246e-10
15100, 18.875, 1.13583e-10
15200, 19, 1.13657e-10
15300, 19.125, 1.12609e-10
15400, 19.25, 1.13735e-10
15500, 19.375, 1.1381e-10
15600, 19.5, 1.12059e-10
15700, 19.625, 1.11992e-10
15800, 19.75, 1.11692e-10
15900, 19.875, 1.09549e-10
16000, 20, 1.09934e-10
16100, 20.125, 1.10488e-10
16200, 20.25, 1.09234e-10
16300, 20.375, 1.09753e-10
16400, 20.5, 1.11008e-10
16500, 20.625, 1.10757e-10
16600, 20.75, 1.12415e-10
16700, 20.875, 1.13895e-10
16800, 21, 1.12603e-10
16900, 21.125, 1.1261e-10
17000, 21.25, 1.14427e-10
17100, 21.375, 1.13612e-10
17200, 21.5, 1.13007e-10
17300, 21.625, 1.13949e-10
17400, 21.75, 1.13412e-10
17500, 21.875, 1.13718e-10
17600, 22, 1.14676e-10
17700, 22.125, 1.13309e-10
17800, 22.25, 1.13943e-10
17900, 22.375, 1.1545e-10
18000, 22.5, 1.14006e-10
18100, 22.625, 1.14147e-10
18200, 22.75, 1.15508e-10
18300, 22.875, 1.14261e-10
18400, 23, 1.14334e-10
18500, 23.125, 1.15569e-10
18600, 23.25, 1.14312e-10
18700, 23.375, 1.14272e-10
18800, 23.5, 1.15312e-10
18900, 23.625, 1.14444e-10
19000, 23.75, 1.14184e-10
19100, 23.875, 1.15197e-10
19200, 24, 1.14427e-10
19300, 24.125, 1.14165e-10
19400, 24.25, 1.14965e-10
19500, 24.375, 1.14406e-10
19600, 24.5, 1.14123e-10
19700, 24.625, 1.14855e-10
19800, 24.75, 1.14516e-10
19900, 24.875, 1.14083e-10
20000, 25, 1.14833e-10
